ota_hotel_id,master_id,name,name_en,city,address,url,rooms_number,first_seen_date,last_seen_date
sobolinka_parkhotel_2,9761022,Парк-отель Соболинка,Sobolinka Park-Hotel,Байкальск,"квартал Красный Ключ, д.90, Байкальск",https://ostrovok.ru/hotel/russia/irkutsk/mid9761022/sobolinka_parkhotel_2,38,2026-03-17,2026-03-19
victory_hotel_4,8457230,Гостиница Виктория,Viktoriya Hotel,Иркутск,"улица Богдана Хмельницкого, д.1 Иркутск, Россия, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid8457230/victory_hotel_4,30,2026-03-17,2026-03-19
vera_baikal,13308776,Отель Вера Байкал,Vera Baykal Hotel,Листвянка,"улица Горького, 8, Листвянка",https://ostrovok.ru/hotel/russia/irkutsk/mid13308776/vera_baikal,38,2026-03-17,2026-03-19
ibis_irkutsk_center,8734978,Отель Ибис Иркутск Центр,Ibis Irkutsk Tsentr Hotel,Иркутск,"улица Полины Осипенко, дом 5, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid8734978/ibis_irkutsk_center,128,2026-03-17,2026-03-19
olkhonstory_guest_house,8876953,Ольхон стори,Olkhon Story,Хужир,"улица Народная, д.19, Хужир",https://ostrovok.ru/hotel/russia/irkutsk/mid8876953/olkhonstory_guest_house,6,2026-03-17,2026-03-17
dizajnerskaya_kvartira_v_tsentre_irkutska,9995434,Квартира в центре Иркутска,V Tsentre Irkutska,Иркутск,"улица Российская, д. 14А, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid9995434/dizajnerskaya_kvartira_v_tsentre_irkutska,,2026-03-17,2026-03-19
evropa_hotel,7828771,Отель Европа,Evropa Hotel,Иркутск,"улица Байкальская, д.69, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid7828771/evropa_hotel,58,2026-03-17,2026-03-19
irkutsk_city_center,13384478,Отель Иркутск Сити Центр,Irkutsk Siti Centr Hotel,Иркутск,"ул. Чкалова, д. 15, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid13384478/irkutsk_city_center,206,2026-03-17,2026-03-19
empire_hotel_3,7829344,Гостиница Империя,Empire Hotel,Иркутск,"ул. Польских Повстанцев, 1Б, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid7829344/empire_hotel_3,49,2026-03-17,2026-03-19
rus_hotel_irkutsk,7774831,Гостиничный Комплекс Русь,Rus Hotel,Иркутск,"улица Свердлова, д.19, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid7774831/rus_hotel_irkutsk,56,2026-03-17,2026-03-19
dohodnyij_dom_listratvoj_butikhotel,9024017,Отель Доходный дом Листратовой,Dohodnyij Dom Listratovoj Hotel,Иркутск,"Подгорная улица, д.16, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid9024017/dohodnyij_dom_listratvoj_butikhotel,15,2026-03-17,2026-03-19
yakovlev_hotel,8742012,Отель Яковлевъ,Yakovlev` Hotel,Иркутск,"улица Тимирязева, д.9, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid8742012/yakovlev_hotel,25,2026-03-17,2026-03-19
miniotel_good_hotel,10013559,Мини-Отель Good Hotel,Good Hotel Mini-Hotel,Иркутск,"ул Сибирская, стр. 21/2, помещ. 1, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid10013559/miniotel_good_hotel,6,2026-03-17,2026-03-19
gostevoy_dom_sunrise,10485526,Sunrise,Sunrise,Хужир,"Первомайская улица, 25А, Хужир",https://ostrovok.ru/hotel/russia/irkutsk/mid10485526/gostevoy_dom_sunrise,,2026-03-17,2026-03-19
azimut_aeroport_irkutsk_hotel,13317260,AZIMUT Отель Аэропорт Иркутск 4*,AZIMUT Hotel Airport Irkutsk 4*,Иркутск,"ул. Ширямова, 10А, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid13317260/azimut_aeroport_irkutsk_hotel,100,2026-03-17,2026-03-19
