ota_hotel_id,name,date,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,min_price
irkutsk_city_center,Отель Иркутск Сити Центр,2026-05-23,206,78,156,37.86,6100.00
angara_hotel,Ангара Отель,2026-05-23,300,34,52,11.33,4250.00
baikal_forest_hotel,Отель Baikal Forest,2026-05-23,156,97,203,62.18,5179.00
hotel_premium_hotel_pushkin,Премиум-отель Пушкин,2026-05-23,46,26,52,56.52,13500.00
tajga_hotel,Отель Тайга,2026-05-23,44,18,43,40.91,3120.00
victory_hotel_4,Гостиница Виктория,2026-05-23,30,28,56,93.33,3200.00
hotel_nuur_hotel,Отель Nuur Hotel,2026-05-23,28,26,51,92.86,5800.00
vera_baikal,Отель Вера Байкал,2026-05-23,38,49,98,100.0,6000.00
empire_hotel_3,Гостиница Империя,2026-05-23,49,10,17,20.41,4300.00
vozdushnaya_gavan,Отель Воздушная Гавань,2026-05-23,140,41,82,29.29,5143.00
international_hotel_sayen,SAYEN,2026-05-23,25,15,34,60.0,18000.00
best_eastern_hotel_zvezda,Отель Звезда,2026-05-23,65,36,72,55.38,5932.00
otel_irkut,Отель Иркут,2026-05-23,30,16,28,53.33,2800.00
klubnyij_kvartal_apartments,Клубный Квартал,2026-05-23,67,8,8,11.94,3500.00
apartamentyi_v_irkutske,Меблированные комнаты в Иркутске,2026-05-23,0,2,4,100.0,1780.00
dohodnyij_dom_listratvoj_butikhotel,Отель Доходный дом Листратовой,2026-05-23,15,12,21,80.0,3219.00
yakovlev_hotel,Отель Яковлевъ,2026-05-23,25,6,14,24.0,3010.00
azimut_aeroport_irkutsk_hotel,AZIMUT Отель Аэропорт Иркутск 4*,2026-05-23,100,61,126,61.0,7000.00
hotel_nikola_2,Отель Никола,2026-05-23,27,9,18,33.33,6528.00
archi_apt_apartments,Отель Baikal Archi Apt,2026-05-23,7,5,11,71.43,3608.00
rus_hotel_irkutsk,Гостиничный Комплекс Русь,2026-05-23,56,59,109,100.0,3244.00
