ota_hotel_id,name,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,date,min_price
grand_baikal,Отель Гранд Байкал,64,9,17,14.06,2026-02-18,12845.00
taiga_2,Отель Taiga,101,39,60,38.61,2026-02-18,5581.00
hotel_angara,Отель Ангара-Приоритет,31,1,1,3.23,2026-02-18,7000.00
sobolinka_parkhotel_2,Парк-отель Соболинка,38,2,2,5.26,2026-02-18,9111.00
bajkal_hotel,Отель Байкал,72,6,12,8.33,2026-02-18,16000.00
victory_hotel_4,Гостиница Виктория,30,2,4,6.67,2026-02-18,4800.00
flagman_hotel_4,Отель Флагман,13,5,8,38.46,2026-02-18,6000.00
klubnyij_kvartal_apartments,Клубный Квартал,67,8,8,11.94,2026-02-18,4000.00
gostevoy_dom_sunrise,Sunrise,0,1,3,0.0,2026-02-18,14440.00
tajga_hotel,Отель Тайга,44,1,2,2.27,2026-02-18,11000.00
hotel_nikola_2,Отель Никола,27,11,24,40.74,2026-02-18,6167.00
gostinitsa_ustilim,Усть-Илим,80,18,20,22.5,2026-02-18,1818.00
vera_baikal,Отель Вера Байкал,38,17,34,44.74,2026-02-18,8265.00
hotel_khotej,Отель Хотэй,25,4,8,16.0,2026-02-18,10925.00
rus_hotel_irkutsk,Гостиничный Комплекс Русь,56,1,1,1.79,2026-02-18,4100.00
legend_of_baikal,Отель Легенда Байкала,35,10,19,28.57,2026-02-18,8750.00
baykal_shale_guest_house,Байкал Шале,0,1,3,0.0,2026-02-18,6971.00
kupechesky_dvor_hotel,Отель Купеческий Дворъ,14,2,4,14.29,2026-02-18,11449.00
nebo_baykala_guest_house,Небо Байкала,0,6,13,0.0,2026-02-18,3485.00
hotel_dacha_baikaleco,Семейный отель Дача БайкалЭко,10,1,1,10.0,2026-02-18,21853.00
podlemorie_hotel,Отель Подлеморье,14,5,10,35.71,2026-02-18,6800.00
lada_8,Отель Гостиница ЛАДА,22,4,6,18.18,2026-02-18,8400.00
baykal_khan_listvyanka,Отель Ларч,18,5,12,27.78,2026-02-18,8340.00
baikal_view_hotel,Baikal View Hotel,99,22,44,22.22,2026-02-18,18065.00
parus_18,Курортный отель Парус,17,2,7,11.76,2026-02-18,8804.00
hotel_premium_hotel_pushkin,Премиум-отель Пушкин,46,8,16,17.39,2026-02-18,18000.00
international_hotel_sayen,SAYEN,25,2,4,8.0,2026-02-18,22700.00
meridian_7,Отель Меридиан,33,12,24,36.36,2026-02-18,4550.00
dauria_hotel_2,Отель Даурия,4,10,20,250.0,2026-02-18,5500.00
arena_g_irkutsk,Отель Арена Иркутск,15,10,23,66.67,2026-02-18,2459.00
momant_house_recreation_camp,Momant house,0,3,10,0.0,2026-02-18,5975.00
gostinitsa_undina,Отель Ундина,30,5,9,16.67,2026-02-18,8963.00
7_dorog,Гостиница 7 дорог,19,1,1,5.26,2026-02-18,6190.00
city_park_hotel_13,Меблированные комнаты City Park,0,2,2,0.0,2026-02-18,2554.00
hotel_soyuz_2,Жилое помещение Союз,84,30,60,35.71,2026-02-18,5600.00
guest_house_baykaliya,Байкалия,0,5,15,0.0,2026-02-18,7469.00
baykal_khan_hotel_olkhon,Отель Байкал-Хан Ольхон,40,3,6,7.5,2026-02-18,17256.00
v_samom_tsentre_irkutska_minihotel,Отель В Сердце Иркутска,6,2,4,33.33,2026-02-18,5400.00
kheyvitsa_guest_house,Отель Гостевой Дом Хейвица,8,1,2,12.5,2026-02-18,6000.00
minihotel_panda,Отель ДиаДэй,9,4,10,44.44,2026-02-18,2520.00
