ota_hotel_id,master_id,room_name,rg_hash,count_rg_hash,allotment,bedding_type,beds,bedding_data,multi_bed_data,capacity,price_rub_min,price_rub_max,url
grand_baikal,8481257,Двухместный номер Standard с красивым видом из окна (двуспальная кровать),3202302000U,1,3,двуспальная кровать,"[""двуспальная кровать""]","[""double""]","[{""bed"": ""double"", ""count"": 1}]",2,14330.00,14330.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid8481257/grand_baikal
grand_baikal,8481257,Двухместный номер Standard с красивым видом из окна (2 отдельные кровати),3202402000U,1,3,2 отдельные кровати,"[""2 отдельные кровати""]","[""twin""]","[{""bed"": ""single"", ""count"": 2}]",2,14330.00,14330.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid8481257/grand_baikal
taiga_2,6923154,Двухместный номер Standard с видом на город (двуспальная кровать),32023020005,2,47,двуспальная кровать,"[""двуспальная кровать""]","[""double""]","[{""bed"": ""double"", ""count"": 1}]",2,5598.00,6547.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid6923154/taiga_2
taiga_2,6923154,Номер Superior с видом на город,35020000005,2,31,,,"[""nobedding""]",,1,6741.00,7690.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid6923154/taiga_2
taiga_2,6923154,Люкс с красивым видом из окна,5002000000U,2,2,,,"[""nobedding""]",,1,10739.00,11688.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid6923154/taiga_2
sobolinka_parkhotel_2,9761022,Одноместный номер Standard с балконом,3202001001,2,2,,,"[""nobedding""]",,1,9105.00,9752.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid9761022/sobolinka_parkhotel_2
sobolinka_parkhotel_2,9761022,Двухместный полулюкс с красивым видом из окна (двуспальная кровать),4002302000U,2,1,двуспальная кровать,"[""двуспальная кровать""]","[""double""]","[{""bed"": ""double"", ""count"": 1}]",2,10847.00,11493.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid9761022/sobolinka_parkhotel_2
evropa_hotel,7828771,Одноместный номер Superior,3502001,6,6,,,"[""nobedding""]",,1,8000.00,10200.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid7828771/evropa_hotel
evropa_hotel,7828771,Двухместный номер Comfort Modern с видом на город (2 отдельные кровати),36024020005,6,1,2 отдельные кровати,"[""2 отдельные кровати""]","[""twin""]","[{""bed"": ""single"", ""count"": 2}]",2,13500.00,15700.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid7828771/evropa_hotel
evropa_hotel,7828771,Двухместный номер Comfort Modern с видом на город (двуспальная кровать),36023020005,6,1,двуспальная кровать,"[""двуспальная кровать""]","[""double""]","[{""bed"": ""double"", ""count"": 1}]",2,13500.00,15700.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid7828771/evropa_hotel
victory_hotel_4,8457230,Двухместный номер Стандартный (двуспальная кровать),3202302,2,3,двуспальная кровать,"[""двуспальная кровать""]","[""double""]","[{""bed"": ""double"", ""count"": 1}]",2,4800.00,4800.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid8457230/victory_hotel_4
victory_hotel_4,8457230,Двухместный номер Стандартный (2 отдельные кровати),3202402,2,3,2 отдельные кровати,"[""2 отдельные кровати""]","[""twin""]","[{""bed"": ""single"", ""count"": 2}]",2,4800.00,4800.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid8457230/victory_hotel_4
victory_hotel_4,8457230,Двухместный номер Стандартный Улучшенный (двуспальная кровать),3502302,2,2,двуспальная кровать,"[""двуспальная кровать""]","[""double""]","[{""bed"": ""double"", ""count"": 1}]",2,5200.00,5200.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid8457230/victory_hotel_4
victory_hotel_4,8457230,Двухместный номер Стандартный Улучшенный (2 отдельные кровати),3502402,2,2,2 отдельные кровати,"[""2 отдельные кровати""]","[""twin""]","[{""bed"": ""single"", ""count"": 2}]",2,5200.00,5200.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid8457230/victory_hotel_4
irkutsk_city_center,13384478,Двухместный номер Deluxe (двуспальная кровать) (кровать king size),3602302,2,7,двуспальная кровать,"[""двуспальная кровать""]","[""double""]","[{""bed"": ""double"", ""count"": 1}]",2,9500.00,9500.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid13384478/irkutsk_city_center
irkutsk_city_center,13384478,Двухместный номер Business Deluxe (двуспальная кровать),3602312,4,2,двуспальная кровать,"[""двуспальная кровать""]","[""double""]","[{""bed"": ""double"", ""count"": 1}]",2,10500.00,11500.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid13384478/irkutsk_city_center
beliy_sobol_parkhotel,8571122,Двухместный номер Standard (двуспальная кровать),3202302,2,2,двуспальная кровать,"[""двуспальная кровать""]","[""double""]","[{""bed"": ""double"", ""count"": 1}]",2,11200.00,11200.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid8571122/beliy_sobol_parkhotel
beliy_sobol_parkhotel,8571122,Двухместный номер Standard (2 отдельные кровати),3202402,2,2,2 отдельные кровати,"[""2 отдельные кровати""]","[""twin""]","[{""bed"": ""single"", ""count"": 2}]",2,11200.00,11200.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid8571122/beliy_sobol_parkhotel
beliy_sobol_parkhotel,8571122,Семейный номер Premium,3A0201,2,8,,,"[""nobedding""]",,3,14200.00,14200.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid8571122/beliy_sobol_parkhotel
beliy_sobol_parkhotel,8571122,Коттедж Prestige,9G02,2,1,,,"[""nobedding""]",,1,40000.00,40000.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid8571122/beliy_sobol_parkhotel
