ota_hotel_id,name,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,date,min_price
grand_baikal,Отель Гранд Байкал,64,6,12,9.38,2026-02-22,14330.00
taiga_2,Отель Taiga,101,80,127,79.21,2026-02-22,5598.00
sobolinka_parkhotel_2,Парк-отель Соболинка,38,3,4,7.89,2026-02-22,9105.00
evropa_hotel,Отель Европа,58,8,10,13.79,2026-02-22,8000.00
victory_hotel_4,Гостиница Виктория,30,10,20,33.33,2026-02-22,4800.00
irkutsk_city_center,Irkutsk City Center,206,9,18,4.37,2026-02-22,9500.00
beliy_sobol_parkhotel,Парк-отель Белый Соболь,32,13,33,40.62,2026-02-22,11200.00
bajkal_hotel,Отель Байкал,72,16,32,22.22,2026-02-22,16000.00
tajga_hotel,Отель Тайга,44,3,4,6.82,2026-02-22,5400.00
baikal_forest_hotel,Отель Baikal Forest,156,45,91,28.85,2026-02-22,9112.00
malinovka_3,Малиновка,0,3,8,0.0,2026-02-22,4981.00
archi_apt_apartments,Отель Baikal Archi Apt,7,1,2,14.29,2026-02-22,5223.00
nochleg_i_zavtrak_bb_shambala,Загородный отель Шамбала,10,1,2,10.0,2026-02-22,12157.00
baykal_shale_guest_house,Байкал Шале,11,1,3,9.09,2026-02-22,7473.00
hotel_nikola_2,Отель Никола,27,17,34,62.96,2026-02-22,6597.00
kupechesky_dvor_hotel,Отель Купеческий Дворъ,14,3,6,21.43,2026-02-22,8800.00
hotel_premium_hotel_pushkin,Премиум-отель Пушкин,46,11,22,23.91,2026-02-22,18000.00
miniotel_good_hotel,Мини-Отель Good Hotel,6,3,7,50.0,2026-02-22,2200.00
ibis_irkutsk_center,Отель Ибис Иркутск Центр,128,3,6,2.34,2026-02-22,8550.00
baikal_view_hotel,Baikal View Hotel,99,2,4,2.02,2026-02-22,20254.00
otel_irkut,Отель Иркут,30,7,14,23.33,2026-02-22,3900.00
matreshka_hotel,Отель Matreshka,35,7,13,20.0,2026-02-22,4902.00
irkutsk,Отель Иркутск,162,2,4,1.23,2026-02-22,11200.00
kalina_house_olkhon_baikal_guest_house,Конкордия,8,2,4,25.0,2026-02-22,10461.00
olkhonstory_guest_house,Ольхон стори,6,2,3,33.33,2026-02-22,9466.00
vera_baikal,Отель Вера Байкал,38,10,20,26.32,2026-02-22,8265.00
hotel_flagman_olkhona,Отель Флагман Ольхона,15,2,4,13.33,2026-02-22,15847.00
nebo_baykala_guest_house,Небо Байкала,0,4,9,0.0,2026-02-22,3487.00
podlemorie_hotel,Отель Подлеморье,14,2,4,14.29,2026-02-22,7500.00
inn_business_hall,Отель Business Hall,18,5,9,27.78,2026-02-22,3790.00
north_star_hotel_9,Отель North Star,12,20,50,166.67,2026-02-22,6500.00
lada_8,Отель Гостиница ЛАДА,22,8,15,36.36,2026-02-22,9600.00
7_dorog,Гостиница 7 дорог,19,1,3,5.26,2026-02-22,11930.00
international_hotel_sayen,SAYEN,25,15,32,60.0,2026-02-22,20000.00
city_park_hotel_13,Меблированные комнаты City Park,0,7,7,0.0,2026-02-22,2068.00
legend_of_baikal,Отель Легенда Байкала,35,13,21,37.14,2026-02-22,8750.00
gostevoj_dom_na_zvezdinskoj,Отель на Звездинской,25,18,41,72.0,2026-02-22,3800.00
minihotel_panda,Отель ДиаДэй,9,4,9,44.44,2026-02-22,2880.00
yakovlev_hotel,Отель Яковлевъ,25,4,8,16.0,2026-02-22,4637.00
gostinitsa_ustilim,Усть-Илим,80,32,36,40.0,2026-02-22,1813.00
